"keys","tr","en","de","fr","es","it","pt_BR","ru","pl","zh_CN","ja"
"EVT_TEST_TITLE","Kervan Seferi","Caravan Journey","","","","","","","","",""
"EVT_TEST_ADVANCE","Bir Gün İlerle","Advance One Day","","","","","","","","",""
"EVT_TEST_RESET","Seferi Sıfırla","Reset Journey","","","","","","","","",""
"EVT_TEST_QUIET_DAY","Sakin bir gün geçti.","A quiet day passes.","","","","","","","","",""
"EVT_TEST_STATE","Kervan Durumu","Caravan Status","","","","","","","","",""
"EVT_TEST_LOG","Sefer Günlüğü","Journey Log","","","","","","","","",""
"EVT_AMBUSH_TITLE","Haydut Pususu","Bandit Ambush","","","","","","","","",""
"EVT_AMBUSH_TEXT","Dar bir geçitte önünüz kesildi. Ağaçların arasından çıkan adamlar yolu kapatmış, elleri kılıçlarında bekliyor.","Your path is blocked in a narrow pass. Men emerge from the trees, hands resting on their swords.","","","","","","","","",""
"EVT_AMBUSH_OPT_PAY","Fidyeyi öde","Pay the ransom","","","","","","","","",""
"EVT_AMBUSH_OPT_PAY_LOCKED","Yeterli altının yok","You lack the gold","","","","","","","","",""
"EVT_AMBUSH_OPT_FIGHT","Direnç göster","Stand and fight","","","","","","","","",""
"EVT_AMBUSH_OPT_HAGGLE","Pazarlığa otur","Negotiate a price","","","","","","","","",""
"EVT_AMBUSH_PAY_LOW","Küçük bir çeteydiler - azıcık altına razı oldular.","A small band - they settled for a modest sum.","","","","","","","","",""
"EVT_AMBUSH_PAY_MID","Fidyeyi kabul ettiler; kervan yoluna devam ediyor.","They accept the payoff; the caravan continues on its way.","","","","","","","","",""
"EVT_AMBUSH_PAY_HIGH","İyi örgütlenmiş bir çeteydiler - ağır bir bedel istediler, ama yol açıldı.","A well-organized band - they demanded a heavy price, but the road is clear.","","","","","","","","",""
"EVT_AMBUSH_FIGHT_WIN","Kervan muhafızları saldırıyı püskürttü. Haydutlar ormana kaçtı; adınız yolda duyuldu.","Your guards drive off the attack. The bandits flee into the woods and word of it spreads.","","","","","","","","",""
"EVT_AMBUSH_FIGHT_LOSE","Çatışma kötü gitti. Vagonlar hasar aldı, bir tüccar kervanı terk etti.","The fight went badly. Wagons were damaged and a merchant abandoned the caravan.","","","","","","","","",""
"EVT_CUSTOMS_TITLE","Gümrük Kontrolü","Customs Checkpoint","","","","","","","","",""
"EVT_CUSTOMS_TEXT","Yol üzerindeki bariyerde üniformalı memurlar kervanı durdurdu. Evrakları görmek istiyorlar.","Uniformed officers halt the caravan at a roadside barrier. They want to see your papers.","","","","","","","","",""
"EVT_CUSTOMS_OPT_PAPERS","Evrakları göster","Present the papers","","","","","","","","",""
"EVT_CUSTOMS_OPT_PAPERS_LOCKED","Geçerli evrakın yok","You have no valid papers","","","","","","","","",""
"EVT_CUSTOMS_OPT_BRIBE","Rüşvet ver (80 GG)","Offer a bribe (80 GG)","","","","","","","","",""
